Punishment	User ID	IPs and alts	Expires
BAN	taputhehacker	47.29.30.20	1628164515307	we hate you
NAMELOCK	aurasamsot	47.29.23.42	1628088818760
LOCK	purplegirl17	219.100.37.237,157.37.191.123,manofdiamond	1630647993866	Permalocked as Purple girl 17
NAMELOCK	huhdet	45.118.157.157	1628234119002	poya
LOCK	aazi	86.128.188.105	1628257737474	
LOCK	purplegirl17	47.31.176.30	1630683502272	Permalocked as Purple girl 17
LOCK	purplegirl17	47.31.176.30	1630683622173	Permalocked as Purple girl 17
LOCK	purplegirl17	47.31.176.30	1630647993866	Permalocked as Purple girl 17
